@relation water_potability-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R10

@attribute Instance_number numeric
@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Conductivity numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Cluster numeric

@data
59,0.505771,0.390377,0.332253,0.613332,0.581699,0.190077,0.552577,0.477715,0.499132,0
60,0.279006,0.67456,0.522506,0.519987,0.623126,0.153823,0.285599,0.511148,0.46377,1
61,0.456525,0.600619,0.338956,0.393234,0.564299,0.328498,0.442839,0.139359,0.467716,0
62,0.505771,0.660352,0.581365,0.66214,0.72705,0.200948,0.564256,0.532673,0.454831,1
63,0.620864,0.535785,0.399553,0.616822,0.581699,0.379222,0.390068,0.387003,0.572501,1
64,0.577554,0.291295,0.530864,0.483932,0.581699,0.410514,0.341749,0.629043,0.49512,1
65,0.443141,0.598039,0.352905,0.588806,0.581699,0.315855,0.487855,0.512208,0.711985,0
66,0.361293,0.6933,0.567314,0.675638,0.697194,0.853779,0.427325,0.614819,0.69137,1
67,0.505771,0.203244,0.444933,0.631335,0.581699,0.532458,0.350618,0.544628,0.599507,1
68,0.505771,0.594027,0.20539,0.324862,0.562342,0.265531,0.530465,0.398829,0.376203,0
69,0.518682,0.480456,0.404619,0.429361,0.625711,0.559052,0.578073,0.407709,0.41338,1
70,0.511462,0.492061,0.105447,0.27014,0.42212,0.431142,0.291173,0.724452,0.460369,0
71,0.407483,0.249798,0.540218,0.524345,0.477453,0.564641,0.260606,0.38462,0.511918,1
72,0.444091,0.302919,0.314244,0.527629,0.486126,0.656053,0.455311,0.46372,0.73281,1
73,0.619995,0.706574,0.372098,0.560999,0.581699,0.299827,0.632353,0.561162,0.45821,0
74,0.505771,0.623409,0.238703,0.410671,0.611999,0.426206,0.519994,0.394396,0.606148,0
75,0.492666,0.594606,0.415882,0.502075,0.581699,0.352413,0.449609,0.72841,0.675512,1
76,0.251039,0.403712,0.372847,0.506433,0.447469,0.220151,0.287825,0.641827,0.43725,0
77,0.265893,0.421513,0.618019,0.4957,0.561582,0.500262,0.473842,0.404342,0.418385,1
78,0.461072,0.468827,0.396463,0.423087,0.527794,0.517781,0.538142,0.462362,0.159469,0
79,0.522629,0.61696,0.518542,0.744661,0.704308,0.42743,0.260259,0.557927,0.38918,1
80,0.131753,0.675871,0.465776,0.577098,0.581699,0.40028,0.513864,0.434533,0.67375,1
81,0.394223,0.439971,0.200483,0.577591,0.581699,0.458306,0.60916,0.532673,0.436566,0
82,0.529213,0.571398,0.151794,0.481716,0.518286,0.564234,0.357553,0.652017,0.439104,0
83,0.426912,0.767236,0.442435,0.571162,0.723395,0.581674,0.385318,0.663074,0.292054,0
84,0.456811,0.313401,0.385943,0.373835,0.391751,0.685338,0.292486,0.764945,0.518287,1
85,0.443546,0.536779,0.21009,0.589225,0.581699,0.412266,0.203359,0.56635,0.408871,0
86,0.483059,0.669744,0.440652,0.589667,0.629051,0.496504,0.446895,0.519822,0.655432,1
87,0.70848,0.55043,0.347244,0.504723,0.568639,0.435464,0.527435,0.475039,0.36595,0
88,0.725389,0.917185,0.202466,0.493395,0.765978,0.535054,0.273856,0.545032,0.671671,0
89,0.62298,0.576505,0.464437,0.467588,0.705633,0.569117,0.43501,0.337845,0.208929,1
90,0.505771,0.546072,0.276365,0.571992,0.568929,0.688336,0.370536,0.554687,0.554721,0
91,0.505771,0.550164,0.482725,0.510191,0.648532,0.41833,0.269219,0.442604,0.360213,1
92,0.435689,0.690945,0.329948,0.634507,0.581699,0.191693,0.654025,0.749623,0.325731,0
93,0.644771,0.746431,0.45388,0.48817,0.694693,0.711427,0.534319,0.473678,0.10759,1
94,0.496669,0.564813,0.185337,0.402641,0.49792,0.646418,0.275394,0.447989,0.41631,0
95,0.438634,0.545696,0.43291,0.566356,0.568791,0.641048,0.522465,0.328776,0.739168,1
96,0.505562,0.628377,0.3867,0.456348,0.605025,0.265043,0.324207,0.726581,0.62668,1
97,0.392022,0.32054,0.347488,0.61334,0.430654,0.454391,0.485068,0.71027,0.683832,1
98,0.514683,0.26441,0.399088,0.457962,0.456689,0.41435,0.438435,0.511072,0.427312,1
99,0.655562,0.420189,0.337361,0.577224,0.543764,0.42932,0.30706,0.500502,0.313626,0
100,0.305051,0.433113,0.395432,0.551038,0.477818,0.29384,0.432127,0.435956,0.437494,1
101,0.524917,0.637788,0.183858,0.668302,0.581699,0.546769,0.610934,0.592052,0.648681,0
102,0.609012,0.464942,0.18908,0.558255,0.509611,0.511939,0.752717,0.418898,0.6869,0
103,0.505771,0.441108,0.588312,0.624531,0.568245,0.715675,0.593683,0.830852,0.481371,1
104,0.186574,0.51279,0.566072,0.504457,0.581699,0.501167,0.420336,0.395789,0.626811,1
105,0.606469,0.568358,0.372193,0.619866,0.652918,0.443321,0.570278,0.500427,0.458604,0
106,0.505771,0.60252,0.364803,0.517041,0.582453,0.49298,0.361035,0.558792,0.368424,0
107,0.632743,0.751511,0.152749,0.59507,0.623264,0.28472,0.21975,0.627692,0.770604,0
108,0.435583,0.517113,0.45079,0.476798,0.621907,0.112573,0.476509,0.589692,0.477853,1
109,0.601426,0.5016,0.212081,0.285422,0.508884,0.493415,0.575079,0.38978,0.475038,0
110,0.663297,0.635599,0.196865,0.543081,0.577334,0.301222,0.458688,0.532673,0.716578,0
111,0.562564,0.648741,0.203416,0.544119,0.617569,0.461461,0.148025,0.506158,0.527243,0
112,0.551809,0.742979,0.593647,0.628944,0.845221,0.276165,0.585665,0.484706,0.430107,1
113,0.242006,0.597032,0.326882,0.643271,0.625389,0.301524,0.613346,0.662409,0.254982,0
114,0.481808,0.620231,0.353837,0.533347,0.581699,0.334989,0.560407,0.595058,0.46367,0
115,0.505771,0.518665,0.455482,0.7251,0.648315,0.143896,0.430852,0.538021,0.790133,1
116,0.51313,0.777748,0.22625,0.677612,0.65257,0.190502,0.572793,0.659466,0.59504,0
117,0.722284,0.700057,0.24645,0.394572,0.661598,0.387435,0.53376,0.489795,0.373561,0
118,0.528387,0.272438,0.14012,0.511678,0.31988,0.539238,0.427812,0.532673,0.321263,0
119,0.558057,0.541009,0.693359,0.546587,0.581699,0.456515,0.47766,0.532673,0.899007,1
120,0.491247,0.324446,0.445154,0.527556,0.506766,0.281035,0.620837,0.652719,0.449546,1
121,0.505771,0.361049,0.263463,0.574171,0.581699,0.502679,0.628405,0.396099,0.607743,0
122,0.505771,0.665153,0.444911,0.531076,0.682639,0.162937,0.282704,0.581192,0.519492,0
123,0.537218,0.796641,0.435824,0.790407,0.581699,0.566968,0.537845,0.456749,0.270521,0
124,0.610777,0.666747,0.469533,0.584777,0.682509,0.438572,0.538939,0.58746,0.439192,1
125,0.73632,0.61586,0.44876,0.67008,0.683268,0.352303,0.167831,0.477341,0.346961,0
126,0.505771,0.744448,0.476925,0.747878,0.866266,0.496159,0.422262,0.677099,0.681175,1
127,0.526506,0.581391,0.403783,0.725192,0.662727,0.317709,0.357956,0.543417,0.560142,0
128,0.798621,0.656054,0.267287,0.449472,0.581699,0.564067,0.491764,0.892419,0.446179,0
129,0.464749,0.561692,0.275278,0.457924,0.561492,0.525109,0.549241,0.368871,0.396819,0
130,0.474567,0.378892,0.173845,0.265959,0.317974,0.448407,0.500565,0.514887,0.446767,0
131,0.359555,0.391341,0.568921,0.5299,0.542894,0.558098,0.617337,0.506687,0.339374,1
132,0.493758,0.39286,0.289826,0.357284,0.417317,0.451448,0.619951,0.444334,0.219748,0
133,0.569831,0.719873,0.52292,0.726703,0.768635,0.510928,0.36507,0.187235,0.397453,1
134,0.434167,0.544339,0.58511,0.608882,0.711664,0.312274,0.685763,0.333663,0.520246,1
135,0.445887,0.524051,0.456907,0.530602,0.540597,0.466477,0.657858,0.488403,0.578314,1
136,0.433097,0.411094,0.237319,0.558286,0.50231,0.254934,0.387319,0.554108,0.381421,0
137,0.580685,0.473235,0.451732,0.677417,0.583581,0.376907,0.526294,0.65432,0.361607,1
138,0.683029,0.560704,0.20886,0.428075,0.562789,0.44049,0.457435,0.509573,0.43727,0
139,0.583414,0.556715,0.440356,0.540933,0.6112,0.601748,0.534187,0.531335,0.536849,1
140,0.613887,0.807389,0.254009,0.435279,0.581699,0.858732,0.689044,0.439903,0.400641,0
141,0.505771,0.435102,0.338613,0.360949,0.581699,0.67299,0.34938,0.532673,0.421591,1
142,0.487533,0.506434,0.75229,0.452897,0.635462,0.335648,0.398712,0.470658,0.298251,1
143,0.561513,0.568904,0.407579,0.592667,0.594306,0.503626,0.528483,0.693071,0.511941,1
144,0.354698,0.629023,0.352703,0.461728,0.5187,0.358357,0.606714,0.431359,0.372805,0
145,0.443388,0.527781,0.21544,0.427947,0.559345,0.616082,0.47845,0.484716,0.396918,0
146,0.505771,0.397434,0.324206,0.604231,0.581699,0.541088,0.579423,0.577885,0.561081,0
147,0.697804,0.786507,0.133824,0.626044,0.654115,0.300271,0.492226,0.421115,0.602487,0
148,0.687905,0.382421,0.382896,0.514576,0.579916,0.412135,0.554413,0.724145,0.656096,1
149,0.370534,0.207915,0.32409,0.513653,0.581699,0.327584,0.495799,0.794394,0.331491,0
150,0.545255,0.552142,0.262555,0.74744,0.65212,0.418023,0.319517,0.807262,0.279271,0
151,0.412229,0.390359,0.403711,0.4837,0.477258,0.231208,0.364168,0.689185,0.612395,1
152,0.469998,0.543342,0.284636,0.325189,0.45817,0.127496,0.293014,0.592329,0.591025,0
153,0.34294,0.483659,0.217314,0.675169,0.548425,0.70981,0.390857,0.497235,0.561285,0
154,0.567773,0.692093,0.308811,0.430526,0.581699,0.442717,0.247636,0.540037,0.423946,0
155,0.493357,0.614284,0.32296,0.544059,0.599681,0.305977,0.284065,0.489889,0.127578,0
156,0.505771,0.848181,0.363364,0.502677,0.609708,0.37397,0.486708,0.538586,0.566147,0
157,0.505771,0.519955,0.195438,0.336142,0.510083,0.380842,0.370758,0.496087,0.380634,0
158,0.604381,0.599036,0.559644,0.651832,0.726799,0.517365,0.44451,0.532673,0.439014,1
159,0.551867,0.676537,0.350488,0.466629,0.600156,0.508474,0.467428,0.290763,0.429313,0
160,0.505771,0.72628,0.315707,0.658917,0.581699,0.45008,0.552669,0.520931,0.440109,0
161,0.637648,0.705291,0.369425,0.641702,0.678849,0.347487,0.331773,0.609426,0.595928,0
162,0.44343,0.383722,0.279739,0.615494,0.566093,0.524101,0.462609,0.502833,0.545399,0
163,0.437745,0.341179,0.15261,0.569544,0.423121,0.408361,0.545435,0.405282,0.601971,0
164,0.505771,0.561579,0.191455,0.69175,0.599334,0.411124,0.455143,0.503217,0.232352,0
165,0.522003,0.824373,0.234452,0.606951,0.725973,0.409408,0.557917,0.553287,0.424678,0
166,0.505771,0.444943,0.649937,0.485557,0.581699,0.583891,0.433566,0.322696,0.54892,1
167,0.617206,0.55909,0.429394,0.517816,0.634338,0.224705,0.592532,0.551078,0.720949,1
168,0.505771,0.573384,0.329785,0.505524,0.642745,0.526085,0.388421,0.566619,0.501518,0
169,0.582372,0.289137,0.16353,0.428678,0.393821,0.53584,0.373313,0.729189,0.275248,0
170,0.592409,0.575745,0.572937,0.476634,0.619441,0.381213,0.531252,0.642668,0.473571,1
171,0.505771,0.676183,0.34176,0.496116,0.581699,0.264495,0.289091,0.622998,0.351836,0
172,0.505771,0.690065,0.421765,0.526226,0.691986,0.285532,0.469051,0.583783,0.426659,0
173,0.677855,0.67698,0.249446,0.343118,0.581699,0.168724,0.555487,0.654615,0.523722,0
174,0.559355,0.520026,0.121073,0.351719,0.464493,0.570004,0.5106,0.683678,0.593455,0
175,0.316449,0.334626,0.468611,0.673923,0.48115,0.442937,0.578517,0.505464,0.554843,1
176,0.517196,0.557705,0.385218,0.5792,0.602174,0.695515,0.432428,0.502282,0.398241,1
177,0.505771,0.771779,0.315186,0.658487,0.68125,0.121598,0.406306,0.388716,0.418892,0
178,0.490522,0.459763,0.39062,0.405318,0.479093,0.52922,0.355659,0.523814,0.44878,1
179,0.437831,0.554409,0.503544,0.663648,0.624571,0.279623,0.272035,0.639415,0.598579,1
180,0.565504,0.836529,0.441192,0.694178,0.840234,0.310038,0.492502,0.455141,0.417751,0
181,0.465116,0.487651,0.473118,0.574072,0.615718,0.513864,0.387787,0.419429,0.642926,1
182,0.380273,0.670809,0.612496,0.66754,0.714644,0.698448,0.386736,0.442732,0.270509,1
183,0.483541,0.440728,0.176439,0.529884,0.502215,0.18896,0.62628,0.497019,0.712902,0
184,0.419855,0.341625,0.218883,0.41876,0.428322,0.6243,0.376783,0.544931,0.488232,0
185,0.681002,0.560492,0.150258,0.450388,0.541363,0.136665,0.514391,0.532673,0.249242,0
186,0.452859,0.644183,0.737224,0.427165,0.664731,0.444195,0.351952,0.648475,0.422764,1
187,0.618685,0.858445,0.439487,0.590674,0.581699,0.578453,0.563684,0.581913,0.419821,1
188,0.403822,0.35967,0.265022,0.481377,0.484744,0.159055,0.444263,0.7065,0.708827,0
189,0.473287,0.23529,0.418987,0.571957,0.520543,0.254896,0.659354,0.68997,0.518872,1
190,0.556702,0.469489,0.295926,0.564828,0.594351,0.331783,0.262032,0.612923,0.51483,0
191,0.542366,0.776715,0.296359,0.465405,0.581699,0.360484,0.550804,0.414507,0.364405,0
192,0.52591,0.501502,0.261837,0.388651,0.533813,0.415793,0.529665,0.51874,0.559371,0
193,0.665736,0.298855,0.257464,0.317263,0.405279,0.556712,0.416738,0.666058,0.521046,0
194,0.265699,0.730624,0.382062,0.573913,0.632205,0.430197,0.69708,0.307207,0.239818,0
195,0.4754,0.613036,0.332493,0.675713,0.581699,0.271654,0.595632,0.575735,0.283918,0
196,0.70492,0.604784,0.246377,0.234802,0.47747,0.424596,0.650898,0.562481,0.360274,0
197,0.39933,0.659287,0.575471,0.597858,0.581699,0.503497,0.424581,0.618639,0.619559,1
198,0.396745,0.659036,0.509365,0.579995,0.581699,0.219265,0.451142,0.702044,0.122124,0
199,0.294752,0.28308,0.178882,0.392486,0.376231,0.461229,0.62743,0.695232,0.569144,0
200,0.426431,0.663847,0.262751,0.386843,0.528892,0.255837,0.426283,0.314908,0.752255,0
201,0.505771,0.661388,0.260093,0.358643,0.581699,0.467532,0.253505,0.532673,0.595751,0
202,0.597797,0.493552,0.207778,0.489147,0.530923,0.545557,0.413299,0.700065,0.412129,0
203,0.448875,0.517192,0.195148,0.59168,0.581699,0.373829,0.423224,0.472082,0.364366,0
204,0.804845,0.415189,0.093905,0.536471,0.581699,0.236163,0.366602,0.201094,0.511126,0
205,0.664144,0.419333,0.224436,0.305104,0.581699,0.381202,0.50444,0.674865,0.42188,0
206,0.563962,0.387511,0.122297,0.536459,0.367334,0.395637,0.544829,0.505249,0.526933,0
207,0.567678,0.806615,0.560202,0.517126,0.741709,0.426931,0.4425,0.453488,0.425573,1
208,0.716154,0.64142,0.24039,0.553919,0.590781,0.587608,0.638257,0.524293,0.516596,0
209,0.463442,0.645829,0.567158,0.673166,0.728646,0.250107,0.402166,0.78187,0.594077,1
210,0.419267,0.581422,0.359951,0.488905,0.63507,0.496858,0.484218,0.625373,0.612463,1
211,0.505771,0.628896,0.34626,0.467544,0.587579,0.350985,0.279705,0.699746,0.417844,0
212,0.378867,0.411823,0.410115,0.464504,0.487175,0.55312,0.490921,0.489831,0.513466,1
213,0.538115,0.50595,0.185889,0.433557,0.581699,0.3183,0.327209,0.396199,0.380557,0
214,0.291258,0.581831,0.293468,0.592718,0.581699,0.186902,0.425544,0.28465,0.24743,0
215,0.505771,0.211929,0.61746,0.411541,0.581699,0.310225,0.383414,0.570994,0.458282,1
216,0.506155,0.514028,0.065405,0.25549,0.370347,0.383697,0.413525,0.512439,0.371817,0
217,0.447929,0.602167,0.402671,0.627867,0.581699,0.632862,0.602166,0.680184,0.728603,1
218,0.568412,0.831731,0.276514,0.586265,0.762524,0.582203,0.472405,0.485322,0.378284,0
219,0.633974,0.658306,0.462461,0.388785,0.633356,0.512869,0.478313,0.420575,0.483455,1
220,0.505771,0.526004,0.294496,0.557358,0.524888,0.491238,0.449507,0.425499,0.549877,0
221,0.472408,0.339861,0.415846,0.537845,0.472223,0.337997,0.453573,0.596788,0.395116,1
222,0.55255,0.326038,0.269316,0.573294,0.436155,0.723685,0.634335,0.505466,0.132088,0
223,0.708932,0.693823,0.170486,0.450726,0.632324,0.392433,0.43488,0.476422,0.615202,0
224,0.643042,0.564248,0.315274,0.53955,0.572,0.32352,0.516835,0.445875,0.653212,0
225,0.363983,0.81967,0.426662,0.772431,0.713579,0.581252,0.615801,0.492343,0.548723,1
226,0.613906,0.784689,0.375974,0.472991,0.724262,0.712359,0.436015,0.693268,0.624706,1
227,0.505984,0.237179,0.135607,0.302018,0.300692,0.442878,0.812242,0.757917,0.460896,0
228,0.548777,0.4834,0.19349,0.39489,0.475069,0.504236,0.52229,0.495401,0.440274,0
229,0.505771,0.313325,0.294741,0.435215,0.581699,0.408716,0.356494,0.748307,0.352278,0
230,0.458555,0.585176,0.499764,0.580498,0.581699,0.598253,0.690901,0.532673,0.311067,1
231,0.317374,0.477069,0.405338,0.359829,0.48171,0.43378,0.595009,0.45115,0.343794,1
232,0.498476,0.492618,0.374239,0.481317,0.551531,0.504661,0.53191,0.529423,0.62714,1
233,0.473115,0.564391,0.276595,0.445996,0.519064,0.400028,0.52546,0.521517,0.277021,0
234,0.261765,0.55738,0.456141,0.417224,0.57104,0.191769,0.585082,0.603299,0.352838,1
235,0.343867,0.572313,0.284527,0.608147,0.629172,0.406651,0.337142,0.378581,0.707289,0
236,0.412834,0.551899,0.391412,0.712808,0.581699,0.432046,0.529598,0.520312,0.606235,1
237,0.495558,0.472071,0.202036,0.550206,0.581699,0.451407,0.273879,0.6687,0.429966,0
238,0.531199,0.582759,0.463395,0.481257,0.596607,0.596843,0.571467,0.52387,0.430642,1
239,0.337379,0.743014,0.369621,0.436043,0.708916,0.401867,0.551133,0.535367,0.466551,0
240,0.670047,0.789393,0.243585,0.306814,0.580445,0.562528,0.348138,0.79731,0.488627,0
241,0.557867,0.507389,0.329982,0.537213,0.55742,0.296756,0.559402,0.549622,0.488518,0
242,0.674046,0.349507,0.335006,0.575194,0.581699,0.504106,0.460374,0.53009,0.559863,0
243,0.67188,0.6142,0.453609,0.454334,0.643333,0.291155,0.54179,0.254501,0.311454,0
244,0.451519,0.579726,0.134817,0.441165,0.447374,0.542584,0.319804,0.598439,0.576944,0
245,0.505771,0.616404,0.290009,0.645179,0.581699,0.39824,0.307041,0.143288,0.407479,0
246,0.336097,0.202188,0.31581,0.502176,0.581699,0.329967,0.267542,0.755809,0.37577,0
247,0.635458,0.634129,0.140379,0.443001,0.576662,0.426229,0.331331,0.532673,0.42559,0
248,0.470134,0.818126,0.605004,0.60765,0.815507,0.297264,0.495377,0.637042,0.520261,1
249,0.48251,0.666788,0.299079,0.657936,0.606618,0.356086,0.447848,0.637378,0.701972,0
250,0.674652,0.356824,0.21094,0.711739,0.515817,0.719015,0.245456,0.623383,0.45853,0
251,0.644632,0.29259,0.3208,0.599955,0.48618,0.471549,0.481642,0.592559,0.479344,0
252,0.505771,0.444492,0.378987,0.639353,0.581699,0.51427,0.410885,0.406645,0.245285,0
253,0.485723,0.705773,0.637413,0.716219,0.165243,0.340946,0.353734,0.592553,0.454706,1
254,0.512438,0.565765,0.32969,0.573762,0.449068,0.234439,0.472548,0.597651,0.470769,0
255,0.546999,0.687466,0.228628,0.464741,0.693591,0.411186,0.316637,0.690519,0.18667,0
256,0.594499,0.579707,0.455269,0.66341,0.479541,0.30994,0.632539,0.488175,0.49199,1
257,0.423877,0.639939,0.376459,0.332748,0.581699,0.1677,0.351221,0.53452,0.712402,1
258,0.700194,0.186221,0.443904,0.694024,0.551654,0.578718,0.45858,0.476355,0.24856,1
259,0.435854,0.608781,0.257051,0.665766,0.50985,0.413318,0.419436,0.501109,0.394327,0
260,0.356984,0.843878,0.435559,0.452349,0.696624,0.203071,0.512321,0.566454,0.369566,0
261,0.343983,0.617555,0.263868,0.556491,0.425367,0.5246,0.510241,0.624324,0.553077,0
262,0.467716,0.838447,0.413544,0.500773,0.675712,0.552301,0.550313,0.63755,0.408747,1
263,0.9411,0,0.310592,0.669669,0.699221,0.557414,0.378693,0.532673,0.502349,0
264,0.472715,0.675499,0.316518,0.340434,0.862301,0.385036,0.366519,0.587804,0.564889,0
265,0.55629,0.599435,0.485305,0.52031,0.658091,0.311415,0.48386,0.674322,0.362783,1
266,0.370845,0.593641,0.238812,0.539076,0.551399,0.362385,0.596935,0.671475,0.455625,0
267,0.401881,0.665329,0.231856,0.380303,0.581699,0.288654,0.351291,0.344447,0.093273,0
268,0.490688,0.739454,0.351489,0.66154,0.428306,0.625999,0.413569,0.451653,0.619532,1
269,0.647045,0.391471,0.253119,0.540116,0.608566,0.492963,0.599788,0.668796,0.416361,0
270,0.520849,0.290586,0.450908,0.736006,0.336151,0.45145,0.577971,0.477181,0.733355,1
271,0.519708,0.463519,0.366528,0.589812,0.466749,0.335506,0.582823,0.454814,0.682983,1
272,0.465196,0.659547,0.363741,0.957184,0.179057,0.521138,0.298217,0.534882,0.598027,1
